Account No,month,art,bank,bar,book,children,clothes,coffee,convenient_shop,game,gift,glasses,haircut,healthcare,home,online-shopping,park,pet,restaurant,sport,streaming,supermarket,takeaway,video_and_music,total,ratio of art,ratio of bank,ratio of bar,ratio of book,ratio of children,ratio of clothes,ratio of coffee,ratio of convenient_shop,ratio of game,ratio of gift,ratio of glasses,ratio of haircut,ratio of healthcare,ratio of home,ratio of online-shopping,ratio of park,ratio of pet,ratio of restaurant,ratio of sport,ratio of streaming,ratio of supermarket,ratio of takeaway,ratio of video_and_music
101531259.0,1,-24.98,-859,0.0,0.0,0,-794.5,0.0,-118.89000000000001,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-409.99,-15.98,0.0,-17.69,0.0,-2241.03,1.1146660241049873,38.33058905949496,-0.0,-0.0,-0.0,35.4524482046202,-0.0,5.305149864124979,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18.294712699071408,0.713064974587578,-0.0,0.7893691739958858,-0.0
101531259.0,2,-1.5,-859,0.0,0.0,0,0.0,0.0,-254.88,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-100.0,-7.99,0.0,0.0,0.0,-1223.3700000000001,0.12261212879178006,70.21587908809272,-0.0,-0.0,-0.0,-0.0,-0.0,20.834252924299268,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.174141919452005,0.6531139393642151,-0.0,-0.0,-0.0
101531259.0,3,-24.98,-859,0.0,0.0,0,0.0,0.0,-107.05,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-131.99,-7.99,0.0,-15.0,0.0,-1146.01,2.1797366515126395,74.95571591870926,-0.0,-0.0,-0.0,-0.0,-0.0,9.341105225957888,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.517351506531357,0.6972015950995192,-0.0,1.3088891021893352,-0.0
101531259.0,4,-8.49,-859,0.0,0.0,0,0.0,0.0,-299.51,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-206.99,-7.99,0.0,-28.63,0.0,-1410.6100000000001,0.6018672772772062,60.89564089294702,-0.0,-0.0,-0.0,-0.0,-0.0,21.232658211695647,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.673793607021073,0.5664216190158866,-0.0,2.0296183920431585,-0.0
101531259.0,5,-109.94,-859,0.0,0.0,0,0.0,0.0,-240.14999999999998,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-151.98,-7.99,0.0,0.0,0.0,-1369.0600000000002,8.030327377908929,62.74378040407286,-0.0,-0.0,-0.0,-0.0,-0.0,17.541232670591498,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.101047434005812,0.5836121134208873,-0.0,-0.0,-0.0
101531259.0,6,-59.980000000000004,-859,0.0,0.0,0,-505.0,0.0,-349.35,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-100.0,-7.99,0.0,0.0,0.0,-1881.32,3.188187017625922,45.65943061254863,-0.0,-0.0,-0.0,26.842855016690407,-0.0,18.569408713031276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.3154168349882,0.4247018051155572,-0.0,-0.0,-0.0
101531259.0,7,-8.49,-859,0.0,0.0,0,0.0,0.0,-137.52,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-181.98000000000002,-7.99,0.0,-25.95,0.0,-1220.93,0.6953715610231544,70.35620387737215,-0.0,-0.0,-0.0,-0.0,-0.0,11.26354500258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.905031410482176,0.6544191722703185,-0.0,2.1254289762721856,-0.0
101531259.0,8,-90.93,-859,0.0,0.0,0,-443.0,0.0,-223.46,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-229.98,-7.99,0.0,0.0,0.0,-1854.3600000000001,4.903578593153433,46.32325977695809,-0.0,-0.0,-0.0,23.889643866347416,-0.0,12.050518777367932,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.402122565197695,0.43087642097543083,-0.0,-0.0,-0.0
101531259.0,9,-57.97,-859,0.0,0.0,0,-30.99,0.0,-195.09,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-100.0,-7.99,0.0,0.0,0.0,-1251.04,4.633744724389309,68.66287249008825,-0.0,-0.0,-0.0,2.4771390203350814,-0.0,15.594225604297227,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.993349533188388,0.6386686277017521,-0.0,-0.0,-0.0
101531259.0,10,-71.96,-859,0.0,0.0,0,-430.5,0.0,-246.55,0.0,0.0,0,0,0.0,0,0.0,0,0,0,-154.99,-7.99,0.0,0.0,0.0,-1770.99,4.063264050051101,48.503944121649475,-0.0,-0.0,-0.0,24.30843765351583,-0.0,13.921591877989147,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.75160221119261,0.45116008560183857,-0.0,-0.0,-0.0
